,_id,,location,date,type,subregion,town,county,site,fatalities,losses,source,add,uncertainty,created_at,updated_at,__v,triggering_description,triggering
10,5f568a512226ad7c84db8c57,41,"[-75.879654, 5.656421]",1997-06-10 00:00:00,Landslide,Suroeste,Andes,,V. Mont Blanc,0,0,Corantioquia,El fenómeno es un deslizamiento con una área de 1 y 3 hectáreas. el asentamiento en su parte mas visible tiene entre 70 y 80 cm de profundidad. un sector del terreno comprometido se asentó horizontalmente y al parecer está recogiendo aguas. el proceso comenzó recientemente hace 1 año. hay varias viviendas localizadas frente a un talud que quedó (en el lote) después de la construcción de la vía aqui aflora agua. se recomienda poner al tanto del fenómeno al cle y a las familias ubicadas en los alrededoreshacer seguimiento del proceso tomando medidas de desplazamiento del terreno para esto se recomendó colocar testigos en varios puntos. (DI6Author : C.P. DI6Date : 20/10/00),High,,,,Lluvias - Aguas lluvias infiltrandoce,Rainfall
11,5f568a512226ad7c84db8c5f,49,"[-75.9011082, 6.120886]",1998-06-10 00:00:00,Landslide,Suroeste,Concordia,El Socorro,,0,0,Corantioquia,El problema que se presenta en el sector del tanque del acueducto y sus alrededores es un deslizamiento el fenómeno se debe a la combinación de varios factores altas pendientes suelos meteorizados aguas lluvias y subsuperficiales deforestación y ganadería. el deterioro ocurrido en los alrededores consiste en agrietamientos en masa asentamientos y deslizamientos y movimientos en masa. debido a la gran inestabilidad del terreno al peso del tanque y su contenido lo más aconsejable es trasladar dicho nque a un lugar más estable. (di6author : c.p. di6date : 20/10/00),Mid,,,,Error humano - Ganadería y deforestación,Anthropic
12,5f568a512226ad7c84db8c87,88,"[-75.8133342, 6.8543086]",1996-11-20 00:00:00,Landslide,Occidente,Sabanalarga,,V. el Junco.,0,0,Corantioquia,El problema es antiguo hace 50 años se destruyeron las primeras viviendas. el fenómeno es dinámico y parece reactivarse con el invierno. por el sitio pasa la traza de una falla geológica. se han destruido completamente varias viviendas y otras presentan alto grado de deterioro. las aguas residuales por falta de alcantarillado tiene que ser evacuadas rapido. se recomienda hacer un seguimiento de las grietas con el fin de observar su avance. reubicar a las personas que se encuentran en las viviendas máafectadas. demoler las contrucciones abandonadas. recoger aguas lluvias y residuales y darles un buen manejo.// (di6author : c.p. di6date : 5/11/00),High,,,,Lluvias - Abundantes lluvias,Rainfall
13,5f568a512226ad7c84db8c91,98,"[-75.8538878, 6.3032315]",1997-07-09 00:00:00,Landslide,Occidente,Anzá,La Cholina,,0,0,Corantioquia,(di6author : c.p. di6date : 5/11/00),Mid,,,,Otra causa - No reportada,Unknown
14,5f568a512226ad7c84db8c93,100,"[-75.9835485, 6.405281599999999]",1998-02-05 00:00:00,Landslide,Suroeste,Caicedo,,V. Noque S. la Gruta y S. Hato Casanoa.,0,0,Corantioquia,En la vereda el noque (paraje el escobero) se presenta un deslizamiento dicho fenómeno es antiguo (hace 10 años) al parecer las principales causas son las aguas lluvias y subterráneas. el relieve del terreno tiene pendientes entre 45 y 80 grados. la morfología del terreno presenta cambios que incluyen terrazas agrietamientos y asentamientos. se recomienda recuperar los canales para evacuación de aguas recolectar las aguas residuales de las viviendas prohibir la construcción de nuevas viviendas. en elitio la gruta se presenta un deslizamiento de 1 ha de área el cual es producto de las aguas lluvias. se recomienda alertar a los habitantes de la situación que se presenta reubicar las familias. construir canales de evacuación de aguas de escorrentía. (DI6Author : C.P. DI6Date : 5/11/00),High,,,,Lluvias - Aguas lluvias y subterráneas,Rainfall
15,5f568a512226ad7c84db8c99,106,"[-75.2197365, 6.6817889]",1996-06-05 00:00:00,Landslide,Norte,Gómez Plata,,V. el Caney.,0,0,Corantioquia,El mayor efecto nocivo contra el medio en la región visitada es ocasionado por el hombre en la construcción de vías mal manejo de taludes y con el sobrepastoreo incrementando la erosión. la mayoría de las explotaciones visitadas no tienen licencia ambiental. se requiere tomar medidas de urgencia como prohibición de la ganadería revegetalizar. hacer un inventario de las explotaciones existentes características documentación manejo mitigación control etc. (di6author : c.p. di6date : 5/11/00),High,,,,Error humano - Construcción de la via mal manejo de taludes sobrepastoreo,Anthropic
16,5f568a512226ad7c84db8c9b,108,"[-75.2401787, 6.814741499999999]",1996-06-06 00:00:00,Landslide,Norte,Guadalupe,,S. Bola de Cacao.,0,0,Corantioquia,Una piedra se encuentra ubicada en el cerro bola de cacao de donde se domina el casco urbano esta piedra tiene 2-3m de altura por 2m de radio se encuentra sobre el barrio el reposo y parece no estar anclada al suelo por estas situación puede presentar una amenaza para la población. (di6author : c.p. di6date : 5/11/00),High,,,,Error humano - Explotación minera,Anthropic
17,5f568a512226ad7c84db8caa,123,"[-75.2197365, 6.6817889]",1997-10-10 00:00:00,Landslide,Norte,Gómez Plata,,S. las Palomas Q. San Rafael.,0,0,Corantioquia,En la quebrada san rafael las dimensiones del deslizamiento 60m de altura y 70 grados de pendiente el talud presenta surcos y cárcavas. el origen del fenómeno es antrópico deforestación y ganadería ayudados por el material que lo conforma y por la pendiente. se recomienda preservar los taludes del tanque y la vía de acceso unas de las obras son colocar trinchos vivos y muertos revegetalizar hacer canales conductores de agua. no permitir el acceso del ganado en las caracavas colocar trinchos. (di6author : c.p. di6date : 5/11/00),High,,,,Error humano - Deforestación y ganadería,Anthropic
18,5f568a512226ad7c84db8c26,1,"[-75.879654, 5.656421]",1997-07-07 00:00:00,Landslide,Suroeste,Andes,,Zona Urbana.,0,0,Corantioquia,El origen de los deslizamientos es una combinación de precipitación aguas subterráneas residuales en altas pendientes; suelos meteorizados inestables e incompetentes; unidos a procesos tectónicos regionales los cuales se manifiestan con milonitización hasta cabalgamiento.también se suma el mal manejo de los socavones de la minería de carbón y la mala planeación urbana.//el dapard dió algunas recomendaciones (aun no es posible conocerlas).//se sugieren las siguientes: educar a la población en el manejde aguas suelos y bosques.//elaborar plan de contingencia municipal. cosntruir las obras civiles y biomecánicas donde sea posible fisica y económicamente.gaviones muros de contención trinchos cunetas conductoras de aguas lluvias reforestación etc. (DI6Author : C.P. DI6Date : 18/09/00),High,,,,Lluvias - Aguas lluvias residuales,Rainfall
19,5f568a512226ad7c84db8c2d,8,"[-75.78327, 6.216629999999999]",1998-11-16 00:00:00,Landslide,Occidente,Heliconia,Alto del Corral,Finca Joly.,0,0,Corantioquia,Es un deslizamiento antiguo donde varias instituciones han dejado las recomendaciones respectivas que hasta el momento no se hayan efectuado. su progreso no es significativo ni acelerado. según los vecinos del sector todavía se siguen utilizando los potreros aledaños al deslizamiento para la ganadería. el material del deslizamiento se encuentra cerca a la quebrada lo cual podría ocasionar un represamiento. se recomienda cumplir con las recomendaciones dejadas por los informes realizados por las institues que han visitado el sitio. dado que el problema es antiguo conocido ha sido evaluado y en cierta medida afecta el medio ambiente debe remediarse rapido. (di6author : c.p. di6date : 18/09/00),Mid,,,,Otra causa - Falla geológica material fracturado y altas pendientes,Unknown
